scatter	-0.125
scold	-0.75
scorn	-0.375
scrutinize	0.5
seem	0.125
shake	-0.125
shame	-0.625
shock	-0.375
sicken	-0.25
sniff	0
snoop	-0.25
snub	-0.5
sober	0.125
solace	0.5
soothe	0.5
sorrow	-0.5
spellbind	0.125
spook	-0.125
stare	-0.125
startle	-0.125
stimulate	0.5
sting	-0.625
stir	0.375
strike	-0.125
strive	0.25
struggle	-0.25
study	0.25
stump	-0.375
stun	-0.125
stupefy	-0.125
suffer	-0.5
support	0.375
suppose	0.125
surprise	0.125
surrender	-0.125
suspect	-0.25
swoon	-0.25
tantalize	-0.125
tease	-0.125
tempt	-0.125
terrify	-0.25
terrorise	-0.25
terrorize	-0.25
thank	0.25
think	0.125
thirst	0.5
threaten	-0.375
thrill	0.25
tire	-0.25
titillate	0.375
tolerate	0.125
torment	-0.125
treasure	0.25
trouble	-0.5
trust	0.375
understand	0.125
unify	0
unnerve	0
unsettle	-0.25
upbraid	-0.375
uplift	0.5
upset	-0.375
value	0.5
venerate	0.625
vex	-0.125
victimize	-0.625
vilify	-0.125
want	0.25
war	-0.25
watch	0.125
weary	-0.125
weep	-0.75
weigh	0.125
welcome	0.25
win	0.25
wish	0.5
withstand	0.25
wonder	0.375
worry	-0.375
worship	0.5
wow	0.375
bombard	-0.25
castrate	-0.25
dismantle 	-0.125
smite	-0.875
prevail	0.375
hoot 	-0.25
rant	-0.25
ranten	-0.3
gainsay 	-0.3
err	-0.25
gull	0.125
berate	-0.75
yell	-0.25
flout 	-0.375
oust 	-0.125
revenge 	-0.125
meddle	-0.125
sympathize	0.375
sympathise	0.375
hog 	-0.125
sabre 	-0.125
crack	-0.25
strip 	-0.2
demonize	-0.125
object	-0.125
fail	-0.5
afford	0.45
improve	0.375
help	0.25
keep	0.125
communicate	0.125
share	0.125
connect	0.125
create	0.375
save	0.5
activate	0.5
waste	-0.65
worst	-0.5
ruin	-0.25
fool	-0.5
require	-0.25
cut	-0.25
face	-0.2
impose	-0.3
cheat	-0.45
boost	0.25
appear	0.125
vote	0.2
solve	0.25
expect 	0.25
reform	0.25
generate	0.375
fake	-0.35
suck	-0.25
hike	-0.125
balance	0.2
absolve	0.125
accelerate	0.3
afterward	0.2
amend	0.375
apology	0.3
append	0.3456
assemble	0.245
assign	0.2
attention	0.3
boot	0.125
brief	0.125
brilliant	0.2534
broadcast	0.2534
browse	0.2
categorize	0.3456
cease	0.213
choice	0.213
circulate	0.2534
collect	0.35
colonized	0.2
command	0.4
compile	0.5
compress	0.125
connect	0.125
conscript	0.213
consult	0.3
convey	0.25
cooperate	0.3
defense	0.5
deliver	0.125
deploy	0.125
derive	0.125
diagnose	0.5
digitalize	0.125
discharge	0.291666667
economize	0.3
effect	0.125
encapsulate	0.124
enclose	0.123
enjoyment	0.425
escort	0.2
evaluate	0.23
expend	0.25
finalized	0.5
float	0.1
grasp	0.125
guidance	0.23
host	0.4
identify	0.3
impressive	0.45
inclose	0.132
initiate	0.32156
install	0.253
integrate	0.32
interact	0.2
interlink	0.125
interpret	0.375
interrogate	0.123
introduce	0.2
mandate	0.3
merge	0.3
modernize	0.321
monitore	0.3
moralize	0.208333333
motivate	0.453
novel	0.231
participate	0.456
permit	0.54
pleasant	0.3
pleasure	0.23
pray	0.2531
preview	0.2
project	0.1
pump	0.1
recommend	0.25
remark	0.231
reside	0.1
resolve	0.231
revise	0.3
revolutionize	0.542
sanction	0.125
serialised	0.3
show	0.25
shown	0.25
zip	0.25
visualize	0.2
visualise	0.2
venerate	0.625
restrain	0.321
unrestrained	0.321
unopposed	0.3
complicate	-0.125
transplant	0.25
thickened	0.2
smooth	0.625
specify	0.25
sponsor	0.2
strengthen	0.375
strong	0.5
subscribe	0.35
success	0.5
suitable	0.2
surrender	0.3
symbolized	0.25
abort	-0.583333333
breach	-0.35
busy	-0.1
caught	-0.2
contempt	-0.35
crank	-0.5
construct	0.25
deconstruct	-0.25
disbanded	-0.5
disintegrated	-0.6
organise	0.25
disorganise	-0.25
prove	0.4375
downshift	-0.4
downward	-0.2
drunk	-0.3
evacuate	-0.2
flicker	-0.3
fluctuate	-0.25
fragment	-0.32
interfer	-0.3
interrupt	-0.166666667
miscalculate	-0.25
calculate	0.25
misconceive	-0.625
conceive	0.625
misrepresent	-0.5
represent	0.5
modify	-0.375
obstruct	-0.4
outgrown	-0.2
overcooked	-0.5
overdirect	-0.2
overextend	-0.125
overfill	-0.5
overprice	-0.3
overplotted	-0.2
quash	-0.375
prefabricate	-0.25
rein	-0.3
repel	-0.541666667
roar	-0.3
roped	-0.4
roughed	-0.5
rough	-0.5
rumour	-0.6
scrawl	-0.3
slept	-0.3
snipped	-0.2
stalk	-0.3
stupid	-0.4
summon	-0.5
suppress	-0.6
terminate	-0.32
threat	-0.375
tough	-0.2
transfer	-0.2
unattended	-0.321
unauthorized	-0.5
complete	0.208333333
uncomplete	-0.208333
undercut	-0.2
underweight	-0.2
undevote	-0.125
undirect	-0.1875
undiscipline	-0.125
undo	-0.1
unequipped	-0.3
unheard	-0.5
uninterest	-0.125
unmotivate	-0.23
unobserve	-0.28125
unqualified	-0.32156
unrefine	-0.213
unsatisfactory	-0.123
unstructure	-0.12
untrust	-0.25
wet	-0.1
grunt	-0.1
deficit	-0.1
deficits	-0.1
